LINE	YEAR	GENRE	SOURCE	CONTEXT
33	1855	FIC	EllieTheHumanComedy	was sipping it; but the world' s a pitiful place. " " Fie! you are a philosopher, Heartsease. " " I am a wretch,
34	1855	FIC	WinklesTheMerry	eh? " said he. " Well, I must submit. " " Fie, colonel, " said Miss Arum, " of course you must submit,
35	1855	FIC	FudgeDoingsBeing	-- think they' ll have nothing to say, Miss Jemima? " " Fie, Mr. Blimmer! and are you not the only friend -- getting warm --
36	1856	FIC	ElmTreeTales	, and that these women wouldn't get such plaguy notions in their heads! Fie, fie! Captain Flin, will you let the weaker vessel go ahead of
37	1856	FIC	ElmTreeTales	that these women wouldn't get such plaguy notions in their heads! Fie, fie! Captain Flin, will you let the weaker vessel go ahead of you in
38	1856	FIC	PoemsMiscellanies	. MARGARET. Dearest lady, Drive me not from you! LADY AGNES. Fie on't! Margaret. Wouldst have me trust a decent Scottish lassie With Edward
39	1856	FIC	EutawASequelThe	What! do you take for granted that of the young lady? " " Fie, my lord! how could you think me such a puppy? No --
40	1857	FIC	KnightGoldenMelice	rewarded himself with a couple of smacks like the report of a pistol. " Fie, for shame, Philip, " cried Prudence, all in a glow,
41	1857	FIC	KnightGoldenMelice	her till her lips had paid the penalty of their sweetness. " Oh, fie, " said she, once more; " what would folk say if they
42	1857	FIC	KnightGoldenMelice	a man who had a wedded wife who never said him nay. " " Fie, Dame, " said the Assistant, laughing, and pinching, and kissing
43	1857	FIC	KnightGoldenMelice	, where it shows so prettily, " replied Arundel, saluting her. " Fie! Master Miles, " exclaimed Prudence, but not looking at all displeased.
44	1857	FIC	BrotherClerks	I may know how strong a fortification my eyes need against finger-nails. " " Fie, Della! the General has never been married, and you will no doubt
45	1857	FIC	MabelVaughan	's content, Bessie, -- only at a distance, mind. " " Fie, uncle, what a coward! " " True enough, little Bess,
46	1859	FIC	BorderWarTaleDisunion	your own woe, and feel only solicitude for the happiness of your friend. Fie! be not so pale -- or is it the MARBLE again? I have
47	1859	MAG	Harpers	, were not in the room with our young people, going to cry out fie and for shame? Then tie and for shame upon you, Mrs. Grundy!
48	1859	MAG	Harpers	the prettiest little fingers to the prettiest little rosy ears in the world. Oh fie, Sir! to use such naughty words. T is lucky the Captain is
1	1860	FIC	MarbleFaun-Volume1	" I have neither your faith, dear Hilda, nor your perceptive faculty. Fie! what a blurred scrawl it is indeed! " The drawing had originally been
2	1860	FIC	ActressInHighLife	I am at myself. Have you ever heard of our Scottish superstition of being fie -- that is, possessed by a preternatural excess of vivacity? No? It
3	1860	FIC	Poems	-- I can not speak the lines, I'm sure! -- Oh, fie! To say I must! -- but if I must -- I'll try
4	1860	FIC	BrianOLinn186-?	-- and our first child's name shall be Sheelah. Sheelah McCabe O, fie! Brian. Brian O'Linn Brian O'Linn THE END
